round,match_date,home_team,guest_team,stadium,date_added,score_home_team,score_guest_team,winning_team,is_weekend,match_period,day_of_week,home_team_wins_last_5,home_team_draws_last_5,home_team_loses_last_5,guest_team_wins_last_5,guest_team_draws_last_5,guest_team_loses_last_5
Rodada 10,2024-06-19 20:00:00,São Paulo,Cuiabá,Morumbi,2025-05-21 21:28:48.872890,0,1,guest,False,night,Wednesday,3,2,0,2,1,2
Rodada 10,2024-06-19 20:00:00,Fortaleza,Grêmio,Castelão (CE),2025-05-21 21:28:48.905303,1,0,home,False,night,Wednesday,1,2,2,1,0,4
Rodada 10,2024-06-19 20:00:00,Juventude,Vasco,Alfredo Jaconi,2025-05-21 21:28:48.946073,2,0,home,False,night,Wednesday,1,3,1,1,1,3
Rodada 10,2024-06-19 21:30:00,Internacional,Corinthians,Orlando Scarpelli,2025-05-21 21:28:48.976221,1,0,home,False,night,Wednesday,1,2,2,0,3,2
Rodada 10,2024-06-19 21:30:00,Cruzeiro,Fluminense,Mineirão,2025-05-21 21:28:49.007003,2,0,home,False,night,Wednesday,3,1,1,0,2,3
Rodada 10,2024-06-20 18:30:00,Vitória,Atlético-MG,Barradão,2025-05-21 21:28:49.034601,4,2,home,False,night,Thursday,1,2,2,2,2,1
Rodada 10,2024-06-20 20:00:00,Flamengo,Bahia,Maracanã,2025-05-21 21:28:49.061385,2,1,home,False,night,Thursday,3,2,0,3,2,0
Rodada 10,2024-06-20 21:30:00,Palmeiras,Bragantino,Arena Palmeiras,2025-05-21 21:28:49.089908,2,1,home,False,night,Thursday,4,0,1,2,1,2
Rodada 11,2024-06-22 16:00:00,Criciúma,Botafogo,Heriberto Hülse,2025-05-21 21:28:49.939156,2,1,home,True,afternoon,Saturday,1,1,3,3,2,0
Rodada 11,2024-06-22 17:30:00,Grêmio,Internacional,Couto Pereira,2025-05-21 21:28:49.948491,0,1,guest,True,afternoon,Saturday,0,0,5,2,2,1
Rodada 11,2024-06-22 18:30:00,Cuiabá,Atlético-GO,Arena Pantanal,2025-05-21 21:28:49.977364,0,0,draw,True,night,Saturday,3,1,1,2,1,2
Rodada 11,2024-06-22 21:30:00,Vasco,São Paulo,São Januário,2025-05-21 21:28:50.009428,4,1,home,True,night,Saturday,1,1,3,2,2,1
Rodada 11,2024-06-23 16:00:00,Bahia,Cruzeiro,Fonte Nova,2025-05-21 21:28:50.043957,4,1,home,True,afternoon,Sunday,2,2,1,3,1,1
Rodada 11,2024-06-23 16:00:00,Fluminense,Flamengo,Maracanã,2025-05-21 21:28:50.077585,0,1,guest,True,afternoon,Sunday,0,1,4,4,1,0
Rodada 11,2024-06-23 16:00:00,Athletico-PR,Corinthians,Arena da Baixada,2025-05-21 21:28:50.108689,1,1,draw,True,afternoon,Sunday,2,2,1,0,2,3
