round,match_date,home_team,guest_team,stadium,date_added,score_home_team,score_guest_team,winning_team,is_weekend,match_period,day_of_week,home_team_wins_last_5,home_team_draws_last_5,home_team_loses_last_5,guest_team_wins_last_5,guest_team_draws_last_5,guest_team_loses_last_5
Rodada 22,2024-08-10 21:30:00,Corinthians,Bragantino,Arena Corinthians,2025-05-21 21:29:01.735696,1,1,draw,True,night,Saturday,2,2,1,1,1,3
Rodada 22,2024-08-11 11:00:00,Juventude,Botafogo,Alfredo Jaconi,2025-05-21 21:29:01.781022,3,2,home,True,morning,Sunday,0,3,2,3,1,1
Rodada 22,2024-08-11 16:00:00,Bahia,Vitória,Fonte Nova,2025-05-21 21:29:01.828525,2,0,home,True,afternoon,Sunday,0,2,3,2,0,3
Rodada 22,2024-08-11 16:00:00,Flamengo,Palmeiras,Maracanã,2025-05-21 21:29:01.862443,1,1,draw,True,afternoon,Sunday,3,0,2,1,1,3
Rodada 22,2024-08-11 16:00:00,São Paulo,Atlético-GO,Morumbi,2025-05-21 21:29:01.901762,1,0,home,True,afternoon,Sunday,2,2,1,0,1,4
Rodada 22,2024-08-11 19:00:00,Internacional,Athletico-PR,Beira-Rio,2025-05-21 21:29:01.941563,2,2,draw,True,night,Sunday,0,3,2,2,0,3
Rodada 6,2024-08-14 19:30:00,Internacional,Juventude,Beira-Rio,2025-05-21 21:28:43.987857,2,1,home,False,night,Wednesday,0,3,2,1,2,2
Rodada 23,2024-08-17 16:00:00,Grêmio,Bahia,Alfredo Jaconi,2025-05-21 21:29:02.733312,0,2,guest,True,afternoon,Saturday,4,1,0,1,2,2
Rodada 23,2024-08-17 16:00:00,Atlético-MG,Cuiabá,Arena MRV,2025-05-21 21:29:02.744242,1,1,draw,True,afternoon,Saturday,2,2,1,1,0,4
Rodada 23,2024-08-17 18:30:00,Bragantino,Fortaleza,Nabi Abi Chedid,2025-05-21 21:29:02.776966,1,2,guest,True,night,Saturday,1,2,2,4,1,0
Rodada 23,2024-08-17 21:00:00,Fluminense,Corinthians,Maracanã,2025-05-21 21:29:02.810468,0,0,draw,True,night,Saturday,4,0,1,1,3,1
Rodada 23,2024-08-18 16:00:00,Criciúma,Vasco,Heriberto Hülse,2025-05-21 21:29:02.901061,2,2,draw,True,afternoon,Sunday,2,1,2,2,1,2
Rodada 23,2024-08-18 16:00:00,Atlético-GO,Internacional,Antônio Accioly,2025-05-21 21:29:02.875956,1,0,home,True,afternoon,Sunday,0,1,4,1,3,1
Rodada 23,2024-08-18 16:00:00,Palmeiras,São Paulo,Arena Palmeiras,2025-05-21 21:29:02.847354,2,1,home,True,afternoon,Sunday,1,2,2,2,2,1
Rodada 23,2024-08-18 18:30:00,Athletico-PR,Juventude,Arena da Baixada,2025-05-21 21:29:02.980570,1,2,guest,True,night,Sunday,1,1,3,1,1,3
Rodada 23,2024-08-18 18:30:00,Botafogo,Flamengo,Nilton Santos (Engenhão),2025-05-21 21:29:02.942300,4,1,home,True,night,Sunday,2,1,2,3,1,1
Rodada 23,2024-08-19 20:00:00,Vitória,Cruzeiro,Barradão,2025-05-21 21:29:03.015130,2,2,draw,False,night,Monday,2,0,3,2,1,2
Rodada 24,2024-08-24 16:00:00,Atlético-GO,Juventude,Antônio Accioly,2025-05-21 21:29:03.941023,2,1,home,True,afternoon,Saturday,1,1,3,2,1,2
Rodada 24,2024-08-24 18:30:00,Palmeiras,Cuiabá,Brinco de Ouro,2025-05-21 21:29:03.947260,5,0,home,True,night,Saturday,1,2,2,0,1,4
Rodada 24,2024-08-24 21:00:00,Atlético-MG,Fluminense,Mineirão,2025-05-21 21:29:04.011059,0,2,guest,True,night,Saturday,2,2,1,3,1,1
Rodada 24,2024-08-25 16:00:00,Bahia,Botafogo,Fonte Nova,2025-05-21 21:29:04.044278,0,0,draw,True,afternoon,Sunday,2,2,1,2,1,2
Rodada 24,2024-08-25 16:00:00,Criciúma,Grêmio,Heriberto Hülse,2025-05-21 21:29:04.108945,0,1,guest,True,afternoon,Sunday,2,2,1,3,1,1
Rodada 24,2024-08-25 16:00:00,Fortaleza,Corinthians,Castelão (CE),2025-05-21 21:29:04.075702,1,0,home,True,afternoon,Sunday,4,1,0,0,4,1
Rodada 24,2024-08-25 18:30:00,São Paulo,Vitória,Morumbi,2025-05-21 21:29:04.146428,2,1,home,True,night,Sunday,2,1,2,2,1,2
Rodada 24,2024-08-25 19:00:00,Internacional,Cruzeiro,Beira-Rio,2025-05-21 21:29:04.177251,1,0,home,True,night,Sunday,1,3,1,2,2,1
Rodada 24,2024-08-25 20:00:00,Flamengo,Bragantino,Maracanã,2025-05-21 21:29:04.215429,2,1,home,True,night,Sunday,2,1,2,1,2,2
Rodada 24,2024-08-26 21:00:00,Vasco,Athletico-PR,São Januário,2025-05-21 21:29:04.244732,2,1,home,False,night,Monday,1,2,2,1,1,3
Rodada 5,2024-08-28 19:30:00,Cruzeiro,Internacional,Mineirão,2025-05-21 21:28:43.137880,0,0,draw,False,night,Wednesday,1,2,2,2,2,1
Rodada 19,2024-08-28 19:30:00,Criciúma,Bragantino,Heriberto Hülse,2025-05-21 21:28:58.619255,1,0,home,False,night,Wednesday,2,1,2,0,2,3
Rodada 25,2024-08-31 18:30:00,Cuiabá,Criciúma,Arena Pantanal,2025-05-21 21:29:05.047905,2,1,home,True,night,Saturday,0,1,4,2,1,2
Rodada 25,2024-08-31 21:00:00,Botafogo,Fortaleza,Nilton Santos (Engenhão),2025-05-21 21:29:05.117291,2,0,home,True,night,Saturday,2,1,2,5,0,0
Rodada 25,2024-09-01 11:00:00,Cruzeiro,Atlético-GO,Mineirão,2025-05-21 21:29:05.176276,3,1,home,True,morning,Sunday,0,3,2,2,0,3
Rodada 25,2024-09-01 11:00:00,Grêmio,Atlético-MG,Arena do Grêmio,2025-05-21 21:29:05.155261,2,3,guest,True,morning,Sunday,4,0,1,1,2,2
Rodada 25,2024-09-01 16:00:00,Corinthians,Flamengo,Arena Corinthians,2025-05-21 21:29:05.225387,2,1,home,True,afternoon,Sunday,0,3,2,2,1,2
Rodada 25,2024-09-01 18:30:00,Vitória,Vasco,Barradão,2025-05-21 21:29:05.258186,0,1,guest,True,night,Sunday,2,1,2,2,2,1
Rodada 25,2024-09-01 18:30:00,Fluminense,São Paulo,Maracanã,2025-05-21 21:29:05.297502,2,0,home,True,night,Sunday,3,1,1,3,0,2
Rodada 25,2024-09-01 18:30:00,Bragantino,Bahia,Nabi Abi Chedid,2025-05-21 21:29:05.326066,2,1,home,True,night,Sunday,0,2,3,2,2,1
Rodada 25,2024-09-01 18:30:00,Athletico-PR,Palmeiras,Arena da Baixada,2025-05-21 21:29:05.376921,0,2,guest,True,night,Sunday,1,1,3,2,2,1
Rodada 25,2024-09-01 18:30:00,Juventude,Internacional,Alfredo Jaconi,2025-05-21 21:29:05.425367,1,3,guest,True,night,Sunday,2,1,2,2,2,1
Rodada 16,2024-09-05 20:00:00,Cuiabá,Juventude,Arena Pantanal,2025-05-21 21:28:55.583863,0,0,draw,False,night,Thursday,1,1,3,2,0,3
Rodada 19,2024-09-11 19:30:00,Internacional,Fortaleza,Beira-Rio,2025-05-21 21:28:58.655091,2,1,home,False,night,Wednesday,3,1,1,4,0,1
Rodada 26,2024-09-14 16:00:00,Atlético-GO,Vitória,Antônio Accioly,2025-05-21 21:29:08.109529,0,2,guest,True,afternoon,Saturday,2,0,3,1,1,3
Rodada 26,2024-09-14 18:30:00,Athletico-PR,Fortaleza,Arena da Baixada,2025-05-21 21:29:08.137903,1,1,draw,True,night,Saturday,0,1,4,3,0,2
Rodada 26,2024-09-14 21:00:00,Botafogo,Corinthians,Nilton Santos (Engenhão),2025-05-21 21:29:08.187811,2,1,home,True,night,Saturday,3,1,1,1,3,1
Rodada 26,2024-09-15 16:00:00,Palmeiras,Criciúma,Arena Palmeiras,2025-05-21 21:29:08.244139,5,0,home,True,afternoon,Sunday,3,2,0,1,1,3
Rodada 26,2024-09-15 16:00:00,Bragantino,Grêmio,Nabi Abi Chedid,2025-05-21 21:29:08.314153,2,2,draw,True,afternoon,Sunday,1,1,3,3,0,2
Rodada 26,2024-09-15 16:00:00,Juventude,Fluminense,Alfredo Jaconi,2025-05-21 21:29:08.361257,2,1,home,True,afternoon,Sunday,1,1,3,3,1,1
Rodada 26,2024-09-15 18:30:00,Bahia,Atlético-MG,Fonte Nova,2025-05-21 21:29:08.455706,3,0,home,True,night,Sunday,2,1,2,1,2,2
Rodada 26,2024-09-15 18:30:00,Flamengo,Vasco,Maracanã,2025-05-21 21:29:08.491742,1,1,draw,True,night,Sunday,1,1,3,3,2,0
Rodada 26,2024-09-15 18:30:00,Cruzeiro,São Paulo,Mineirão,2025-05-21 21:29:08.388359,0,1,guest,True,night,Sunday,1,3,1,3,0,2
Rodada 26,2024-09-16 20:00:00,Internacional,Cuiabá,Beira-Rio,2025-05-21 21:29:08.540837,3,0,home,False,night,Monday,3,1,1,1,2,2
Rodada 27,2024-09-21 16:00:00,Vitória,Juventude,Barradão,2025-05-21 21:29:09.706345,1,0,home,True,afternoon,Saturday,1,1,3,2,1,2
Rodada 27,2024-09-21 16:00:00,Corinthians,Atlético-GO,Arena Corinthians,2025-05-21 21:29:09.727456,3,0,home,True,afternoon,Saturday,1,2,2,2,0,3
Rodada 27,2024-09-21 18:30:00,Fluminense,Botafogo,Maracanã,2025-05-21 21:29:09.813484,0,1,guest,True,night,Saturday,2,1,2,3,1,1
Rodada 27,2024-09-21 21:00:00,Fortaleza,Bahia,Castelão (CE),2025-05-21 21:29:09.891666,4,1,home,True,night,Saturday,2,1,2,3,1,1
Rodada 27,2024-09-22 16:00:00,Vasco,Palmeiras,Mané Garrincha,2025-05-21 21:29:10.018898,0,1,guest,True,afternoon,Sunday,3,2,0,4,1,0
Rodada 27,2024-09-22 16:00:00,Atlético-MG,Bragantino,Arena MRV,2025-05-21 21:29:09.962442,3,0,home,True,afternoon,Sunday,1,2,2,1,1,3
Rodada 27,2024-09-22 18:30:00,São Paulo,Internacional,Morumbi,2025-05-21 21:29:10.109953,1,3,guest,True,night,Sunday,3,0,2,4,1,0
Rodada 27,2024-09-22 18:30:00,Grêmio,Flamengo,Arena do Grêmio,2025-05-21 21:29:10.073564,3,2,home,True,night,Sunday,2,1,2,1,2,2
Rodada 27,2024-09-22 18:30:00,Cuiabá,Cruzeiro,Arena Pantanal,2025-05-21 21:29:10.166585,0,0,draw,True,night,Sunday,1,2,2,1,2,2
Rodada 27,2024-09-22 20:00:00,Criciúma,Athletico-PR,Heriberto Hülse,2025-05-21 21:29:10.224581,0,0,draw,True,night,Sunday,1,1,3,0,2,3
Rodada 16,2024-09-25 19:00:00,Bragantino,Internacional,Nabi Abi Chedid,2025-05-21 21:28:55.617974,2,2,draw,False,night,Wednesday,1,1,3,4,1,0
Rodada 5,2024-09-25 19:00:00,Grêmio,Criciúma,Arena do Grêmio,2025-05-21 21:28:43.162146,1,2,guest,False,night,Wednesday,2,1,2,1,1,3
Rodada 28,2024-09-28 18:30:00,Palmeiras,Atlético-MG,Brinco de Ouro,2025-05-21 21:29:11.068144,2,1,home,True,night,Saturday,5,0,0,2,1,2
Rodada 28,2024-09-28 21:00:00,Botafogo,Grêmio,Mané Garrincha,2025-05-21 21:29:11.084886,0,0,draw,True,night,Saturday,4,1,0,2,1,2
Rodada 28,2024-09-29 11:00:00,Juventude,Bragantino,Alfredo Jaconi,2025-05-21 21:29:11.178324,1,1,draw,True,morning,Sunday,1,1,3,1,2,2
Rodada 28,2024-09-29 16:00:00,Fortaleza,Cuiabá,Castelão (CE),2025-05-21 21:29:11.372042,1,0,home,True,afternoon,Sunday,2,1,2,1,2,2
Rodada 28,2024-09-29 16:00:00,Atlético-GO,Fluminense,Antônio Accioly,2025-05-21 21:29:11.425302,1,0,home,True,afternoon,Sunday,2,0,3,2,1,2
Rodada 28,2024-09-29 16:00:00,São Paulo,Corinthians,Mané Garrincha,2025-05-21 21:29:11.273671,3,1,home,True,afternoon,Sunday,2,0,3,2,1,2
Rodada 28,2024-09-29 18:30:00,Internacional,Vitória,Beira-Rio,2025-05-21 21:29:11.506946,3,1,home,True,night,Sunday,4,1,0,2,1,2
Rodada 28,2024-09-29 18:30:00,Cruzeiro,Vasco,Mineirão,2025-05-21 21:29:11.573807,1,1,draw,True,night,Sunday,1,2,2,2,2,1
Rodada 28,2024-09-29 18:30:00,Bahia,Criciúma,Fonte Nova,2025-05-21 21:29:11.660480,1,0,home,True,night,Sunday,2,1,2,2,1,2
Rodada 28,2024-09-29 20:00:00,Flamengo,Athletico-PR,Maracanã,2025-05-21 21:29:11.701120,1,0,home,True,night,Sunday,1,1,3,0,2,3
Rodada 29,2024-10-03 19:00:00,Criciúma,Atlético-GO,Heriberto Hülse,2025-05-21 21:29:12.435789,2,0,home,False,night,Thursday,1,1,3,2,0,3
Rodada 29,2024-10-03 21:30:00,Fluminense,Cruzeiro,Maracanã,2025-05-21 21:29:12.488268,1,0,home,False,night,Thursday,2,0,3,1,3,1
Rodada 29,2024-10-04 21:30:00,Grêmio,Fortaleza,Arena do Grêmio,2025-05-21 21:29:12.635891,3,1,home,False,night,Friday,1,2,2,2,1,2
Rodada 29,2024-10-05 16:30:00,Athletico-PR,Botafogo,Arena da Baixada,2025-05-21 21:29:12.888169,0,1,guest,True,afternoon,Saturday,0,2,3,3,2,0
Rodada 29,2024-10-05 16:30:00,Bragantino,Palmeiras,Nabi Abi Chedid,2025-05-21 21:29:12.800647,0,0,draw,True,afternoon,Saturday,1,3,1,5,0,0
Rodada 29,2024-10-05 16:30:00,Atlético-MG,Vitória,Arena MRV,2025-05-21 21:29:12.700206,2,2,draw,True,afternoon,Saturday,2,0,3,2,0,3
Rodada 29,2024-10-05 19:00:00,Bahia,Flamengo,Fonte Nova,2025-05-21 21:29:13.027989,0,2,guest,True,night,Saturday,2,1,2,2,1,2
Rodada 29,2024-10-05 19:00:00,Corinthians,Internacional,Arena Corinthians,2025-05-21 21:29:13.085437,2,2,draw,True,night,Saturday,2,0,3,4,1,0
Rodada 29,2024-10-05 19:00:00,Cuiabá,São Paulo,Arena Pantanal,2025-05-21 21:29:13.135293,2,0,home,True,night,Saturday,1,2,2,3,0,2
Rodada 29,2024-10-05 21:00:00,Vasco,Juventude,São Januário,2025-05-21 21:29:13.184212,1,1,draw,True,night,Saturday,2,2,1,1,2,2
Rodada 6,2024-10-09 19:30:00,Atlético-MG,Grêmio,Arena MRV,2025-05-21 21:28:44.014131,2,1,home,False,night,Wednesday,2,1,2,2,2,1
Rodada 30,2024-10-16 21:45:00,São Paulo,Vasco,Brinco de Ouro,2025-05-21 21:29:13.822177,3,0,home,False,night,Wednesday,2,0,3,1,3,1
Rodada 30,2024-10-16 21:45:00,Fortaleza,Atlético-MG,Castelão (CE),2025-05-21 21:29:13.855525,1,1,draw,False,night,Wednesday,2,1,2,2,1,2
Rodada 30,2024-10-17 20:00:00,Corinthians,Athletico-PR,Arena Corinthians,2025-05-21 21:29:13.949918,5,2,home,False,night,Thursday,2,1,2,0,2,3
Rodada 30,2024-10-17 20:00:00,Flamengo,Fluminense,Maracanã,2025-05-21 21:29:13.915793,0,2,guest,False,night,Thursday,2,1,2,2,0,3
Rodada 30,2024-10-18 19:00:00,Atlético-GO,Cuiabá,Antônio Accioly,2025-05-21 21:29:13.986376,0,0,draw,False,night,Friday,1,0,4,1,2,2
Rodada 30,2024-10-18 20:00:00,Botafogo,Criciúma,Maracanã,2025-05-21 21:29:14.021339,1,1,draw,False,night,Friday,4,1,0,2,1,2
Rodada 30,2024-10-18 21:30:00,Cruzeiro,Bahia,Mineirão,2025-05-21 21:29:14.055513,1,1,draw,False,night,Friday,1,2,2,2,0,3
Rodada 30,2024-10-19 16:00:00,Internacional,Grêmio,Beira-Rio,2025-05-21 21:29:14.102638,1,0,home,True,afternoon,Saturday,3,2,0,2,1,2
Rodada 30,2024-10-19 16:00:00,Vitória,Bragantino,Barradão,2025-05-21 21:29:14.170891,1,0,home,True,afternoon,Saturday,2,1,2,0,4,1
Rodada 30,2024-10-20 20:00:00,Juventude,Palmeiras,Alfredo Jaconi,2025-05-21 21:29:14.266738,3,5,guest,True,night,Sunday,1,3,1,4,1,0
Rodada 17,2024-10-22 19:30:00,Fluminense,Athletico-PR,Maracanã,2025-05-21 21:28:56.534245,1,0,home,False,night,Tuesday,2,0,3,0,2,3
Rodada 19,2024-10-24 19:00:00,Vasco,Cuiabá,São Januário,2025-05-21 21:28:58.684461,1,0,home,False,night,Thursday,0,3,2,1,2,2
Rodada 31,2024-10-26 16:30:00,Grêmio,Atlético-GO,Arena do Grêmio,2025-05-21 21:29:16.762054,3,1,home,True,afternoon,Saturday,1,1,3,1,1,3
Rodada 31,2024-10-26 16:30:00,Vitória,Fluminense,Barradão,2025-05-21 21:29:16.775642,2,1,home,True,afternoon,Saturday,3,1,1,3,0,2
Rodada 31,2024-10-26 16:30:00,Flamengo,Juventude,Maracanã,2025-05-21 21:29:16.811785,4,2,home,True,afternoon,Saturday,2,1,2,1,2,2
Rodada 31,2024-10-26 16:30:00,Palmeiras,Fortaleza,Arena Palmeiras,2025-05-21 21:29:16.847859,2,2,draw,True,afternoon,Saturday,4,1,0,2,2,1
Rodada 31,2024-10-26 18:30:00,Athletico-PR,Cruzeiro,Arena da Baixada,2025-05-21 21:29:16.885605,3,0,home,True,night,Saturday,0,1,4,0,3,2
Rodada 31,2024-10-26 19:00:00,Atlético-MG,Internacional,Arena MRV,2025-05-21 21:29:16.921232,1,3,guest,True,night,Saturday,2,2,1,3,2,0
Rodada 31,2024-10-26 19:00:00,Bragantino,Botafogo,Nabi Abi Chedid,2025-05-21 21:29:16.954853,0,1,guest,True,night,Saturday,0,3,2,3,2,0
Rodada 31,2024-10-26 21:00:00,Criciúma,São Paulo,Heriberto Hülse,2025-05-21 21:29:16.997402,1,1,draw,True,night,Saturday,2,2,1,3,0,2
Rodada 31,2024-10-28 19:00:00,Cuiabá,Corinthians,Arena Pantanal,2025-05-21 21:29:17.047494,0,1,guest,False,night,Monday,1,2,2,2,1,2
Rodada 31,2024-10-28 21:00:00,Vasco,Bahia,São Januário,2025-05-21 21:29:17.086581,3,2,home,False,night,Monday,1,2,2,2,1,2
Rodada 17,2024-10-30 19:00:00,Internacional,Flamengo,Beira-Rio,2025-05-21 21:28:56.566294,1,1,draw,False,night,Wednesday,3,2,0,3,0,2
Rodada 32,2024-11-01 21:00:00,Fluminense,Grêmio,Maracanã,2025-05-21 21:29:17.755235,2,2,draw,False,night,Friday,3,0,2,2,1,2
Rodada 32,2024-11-02 16:00:00,Bragantino,Cuiabá,Nabi Abi Chedid,2025-05-21 21:29:17.784076,0,0,draw,True,afternoon,Saturday,0,3,2,1,1,3
Rodada 32,2024-11-02 18:30:00,Juventude,Fortaleza,Alfredo Jaconi,2025-05-21 21:29:17.862238,0,3,guest,True,night,Saturday,0,2,3,2,2,1
Rodada 32,2024-11-02 18:30:00,Athletico-PR,Vitória,Arena da Baixada,2025-05-21 21:29:17.828660,1,2,guest,True,night,Saturday,1,0,4,3,1,1
Rodada 32,2024-11-04 20:00:00,Corinthians,Palmeiras,Arena Corinthians,2025-05-21 21:29:17.928428,2,0,home,False,night,Monday,3,1,1,3,2,0
Rodada 32,2024-11-05 21:30:00,Internacional,Criciúma,Beira-Rio,2025-05-21 21:29:17.960899,2,0,home,False,night,Tuesday,3,2,0,2,2,1
Rodada 32,2024-11-05 21:30:00,Bahia,São Paulo,Fonte Nova,2025-05-21 21:29:18.014410,0,3,guest,False,night,Tuesday,1,1,3,2,1,2
Rodada 32,2024-11-05 21:30:00,Botafogo,Vasco,Nilton Santos (Engenhão),2025-05-21 21:29:18.103171,3,0,home,False,night,Tuesday,3,2,0,2,2,1
Rodada 32,2024-11-06 21:00:00,Cruzeiro,Flamengo,Independência,2025-05-21 21:29:18.170654,0,1,guest,False,night,Wednesday,0,3,2,3,1,1
Rodada 32,2024-11-06 21:00:00,Atlético-GO,Atlético-MG,Antônio Accioly,2025-05-21 21:29:18.269645,1,0,home,False,night,Wednesday,1,1,3,1,2,2
Rodada 33,2024-11-08 19:00:00,Internacional,Fluminense,Beira-Rio,2025-05-21 21:29:19.086885,2,0,home,False,night,Friday,3,2,0,3,1,1
Rodada 33,2024-11-08 21:30:00,Palmeiras,Grêmio,Arena Palmeiras,2025-05-21 21:29:19.163436,1,0,home,False,night,Friday,2,2,1,2,1,2
Rodada 33,2024-11-09 16:30:00,Vitória,Corinthians,Barradão,2025-05-21 21:29:19.241968,1,2,guest,True,afternoon,Saturday,3,1,1,3,1,1
Rodada 33,2024-11-09 16:30:00,Botafogo,Cuiabá,Nilton Santos (Engenhão),2025-05-21 21:29:19.315289,0,0,draw,True,afternoon,Saturday,3,2,0,1,2,2
Rodada 33,2024-11-09 19:00:00,Cruzeiro,Criciúma,Mineirão,2025-05-21 21:29:19.364681,2,1,home,True,night,Saturday,0,2,3,1,2,2
Rodada 33,2024-11-09 19:00:00,Fortaleza,Vasco,Castelão (CE),2025-05-21 21:29:19.407816,3,0,home,True,night,Saturday,2,2,1,2,1,2
Rodada 33,2024-11-09 19:00:00,Atlético-GO,Bragantino,Antônio Accioly,2025-05-21 21:29:19.450813,0,0,draw,True,night,Saturday,2,1,2,0,3,2
Rodada 33,2024-11-09 19:00:00,Juventude,Bahia,Alfredo Jaconi,2025-05-21 21:29:19.477440,2,1,home,True,night,Saturday,0,2,3,1,1,3
Rodada 33,2024-11-09 21:00:00,São Paulo,Athletico-PR,Morumbi,2025-05-21 21:29:19.529979,2,1,home,True,night,Saturday,3,1,1,1,0,4
Rodada 33,2024-11-13 20:00:00,Flamengo,Atlético-MG,Maracanã,2025-05-21 21:29:19.592272,0,0,draw,False,night,Wednesday,3,1,1,1,2,2
Rodada 19,2024-11-16 18:30:00,Athletico-PR,Atlético-MG,Arena da Baixada,2025-05-21 21:28:58.731742,1,0,home,True,night,Saturday,1,0,4,1,2,2
Rodada 34,2024-11-20 11:00:00,Corinthians,Cruzeiro,Arena Corinthians,2025-05-21 21:29:20.358829,2,1,home,False,morning,Wednesday,4,1,0,1,1,3
Rodada 34,2024-11-20 16:30:00,Criciúma,Vitória,Heriberto Hülse,2025-05-21 21:29:20.493531,0,1,guest,False,afternoon,Wednesday,1,2,2,3,1,1
Rodada 34,2024-11-20 16:30:00,Athletico-PR,Atlético-GO,Arena da Baixada,2025-05-21 21:29:20.443287,2,0,home,False,afternoon,Wednesday,2,0,3,1,2,2
Rodada 34,2024-11-20 16:30:00,Bragantino,São Paulo,Nabi Abi Chedid,2025-05-21 21:29:20.377930,1,1,draw,False,afternoon,Wednesday,0,3,2,3,1,1
Rodada 34,2024-11-20 18:00:00,Bahia,Palmeiras,Fonte Nova,2025-05-21 21:29:20.544012,1,2,guest,False,night,Wednesday,0,1,4,2,2,1
Rodada 34,2024-11-20 19:00:00,Grêmio,Juventude,Arena do Grêmio,2025-05-21 21:29:20.592093,2,2,draw,False,night,Wednesday,1,1,3,1,1,3
Rodada 34,2024-11-20 19:00:00,Cuiabá,Flamengo,Arena Pantanal,2025-05-21 21:29:20.645248,1,2,guest,False,night,Wednesday,0,3,2,2,2,1
Rodada 34,2024-11-20 21:30:00,Atlético-MG,Botafogo,Independência,2025-05-21 21:29:20.695188,0,0,draw,False,night,Wednesday,0,2,3,3,2,0
Rodada 34,2024-11-21 20:00:00,Vasco,Internacional,São Januário,2025-05-21 21:29:20.808208,0,1,guest,False,night,Thursday,2,0,3,4,1,0
Rodada 34,2024-11-22 21:30:00,Fluminense,Fortaleza,Maracanã,2025-05-21 21:29:20.929112,2,2,draw,False,night,Friday,2,1,2,2,2,1
Rodada 35,2024-11-23 19:30:00,Botafogo,Vitória,Nilton Santos (Engenhão),2025-05-21 21:29:21.705343,1,1,draw,True,night,Saturday,2,3,0,4,0,1
Rodada 35,2024-11-23 19:30:00,Atlético-GO,Palmeiras,Antônio Accioly,2025-05-21 21:29:21.725820,0,1,guest,True,night,Saturday,1,2,2,3,1,1
Rodada 35,2024-11-23 19:30:00,Juventude,Cuiabá,Alfredo Jaconi,2025-05-21 21:29:21.774976,1,1,draw,True,night,Saturday,1,1,3,0,2,3
Rodada 35,2024-11-23 21:30:00,São Paulo,Atlético-MG,Morumbi,2025-05-21 21:29:21.824945,2,2,draw,True,night,Saturday,3,2,0,0,2,3
Rodada 35,2024-11-24 16:00:00,Bahia,Athletico-PR,Fonte Nova,2025-05-21 21:29:21.915354,1,1,draw,True,afternoon,Sunday,0,1,4,3,0,2
Rodada 35,2024-11-24 16:00:00,Corinthians,Vasco,Arena Corinthians,2025-05-21 21:29:21.959882,3,1,home,True,afternoon,Sunday,5,0,0,2,0,3
Rodada 35,2024-11-24 16:00:00,Internacional,Bragantino,Beira-Rio,2025-05-21 21:29:21.874766,4,1,home,True,afternoon,Sunday,4,1,0,0,3,2
Rodada 35,2024-11-26 19:00:00,Fluminense,Criciúma,Maracanã,2025-05-21 21:29:22.006213,0,0,draw,False,night,Tuesday,1,2,2,0,2,3
Rodada 35,2024-11-26 20:00:00,Fortaleza,Flamengo,Castelão (CE),2025-05-21 21:29:22.075271,0,0,draw,False,night,Tuesday,2,3,0,3,2,0
Rodada 36,2024-11-26 21:30:00,Atlético-MG,Juventude,Independência,2025-05-21 21:29:22.731245,2,3,guest,False,night,Tuesday,0,3,2,1,2,2
Rodada 36,2024-11-26 21:30:00,Palmeiras,Botafogo,Arena Palmeiras,2025-05-21 21:29:22.744377,1,3,guest,False,night,Tuesday,3,1,1,2,3,0
Rodada 35,2024-11-27 21:00:00,Cruzeiro,Grêmio,Mineirão,2025-05-21 21:29:22.141043,1,1,draw,False,night,Wednesday,1,1,3,1,2,2
Rodada 36,2024-11-30 19:30:00,Cuiabá,Bahia,Arena Pantanal,2025-05-21 21:29:22.793567,1,2,guest,True,night,Saturday,0,3,2,0,1,4
Rodada 36,2024-11-30 19:30:00,Criciúma,Corinthians,Heriberto Hülse,2025-05-21 21:29:22.855303,2,4,guest,True,night,Saturday,0,2,3,5,0,0
Rodada 36,2024-11-30 21:30:00,Vasco,Atlético-GO,São Januário,2025-05-21 21:29:22.908851,2,2,draw,True,night,Saturday,1,0,4,1,1,3
Rodada 36,2024-12-01 16:00:00,Grêmio,São Paulo,Arena do Grêmio,2025-05-21 21:29:22.956687,2,1,home,True,afternoon,Sunday,1,3,1,2,3,0
Rodada 36,2024-12-01 16:00:00,Flamengo,Internacional,Maracanã,2025-05-21 21:29:23.000298,3,2,home,True,afternoon,Sunday,2,3,0,4,1,0
Rodada 36,2024-12-01 18:30:00,Athletico-PR,Fluminense,Arena da Baixada,2025-05-21 21:29:23.163278,1,1,draw,True,night,Sunday,2,1,2,0,3,2
Rodada 36,2024-12-01 18:30:00,Vitória,Fortaleza,Barradão,2025-05-21 21:29:23.029991,2,0,home,True,night,Sunday,3,1,1,2,3,0
Rodada 36,2024-12-01 18:30:00,Bragantino,Cruzeiro,Nabi Abi Chedid,2025-05-21 21:29:23.092122,1,1,draw,True,night,Sunday,0,3,2,1,1,3
Rodada 37,2024-12-03 20:00:00,Corinthians,Bahia,Arena Corinthians,2025-05-21 21:29:23.972805,3,0,home,False,night,Tuesday,5,0,0,1,1,3
Rodada 37,2024-12-04 19:00:00,Vasco,Atlético-MG,São Januário,2025-05-21 21:29:24.013434,2,0,home,False,night,Wednesday,0,1,4,0,3,2
Rodada 37,2024-12-04 20:00:00,Vitória,Grêmio,Barradão,2025-05-21 21:29:24.090799,1,1,draw,False,night,Wednesday,3,1,1,1,3,1
Rodada 37,2024-12-04 20:00:00,São Paulo,Juventude,Morumbi,2025-05-21 21:29:24.199004,1,2,guest,False,night,Wednesday,2,2,1,2,2,1
