iter	TotalF1	MultiClass
74	0.5283093415	0.8466706765
75	0.5290415964	0.8454081704
76	0.531000917	0.8442227796
77	0.5317240064	0.8430580911
78	0.5317240064	0.8418955374
79	0.5330187514	0.8408099488
80	0.532372095	0.8398051064
81	0.532372095	0.8387222823
82	0.5330187514	0.8378250512
83	0.5330187514	0.8369617838
84	0.5336639814	0.8357387157
85	0.5336639814	0.8348963646
86	0.5336639814	0.834027803
87	0.5336639814	0.8329667118
88	0.5336639814	0.8318856446
89	0.5343781092	0.8310410398
90	0.5349501852	0.8300992602
91	0.535660182	0.8294429953
92	0.5350198483	0.8286998119
93	0.5369366561	0.827857644
94	0.5370044806	0.8272426424
95	0.5382741271	0.8264577428
96	0.5389068872	0.8255425288
97	0.5389068872	0.8245328741
98	0.5395382793	0.8236713168
99	0.5389068872	0.8231408004
100	0.5395382793	0.8222241113
101	0.5389068872	0.8214833189
102	0.5415515072	0.820773085
103	0.5414878465	0.8200833214
104	0.5427372337	0.8192267536
105	0.5427372337	0.8184146895
106	0.5446013376	0.8176153286
107	0.5458969416	0.8169924663
108	0.5452801142	0.8161561078
109	0.545956526	0.8155560515
110	0.5471851113	0.8147887033
111	0.5477974681	0.8140627101
112	0.5484085413	0.8134318127
113	0.5496831129	0.8126899076
114	0.5502898007	0.8119775754
115	0.5502898007	0.8111454981
116	0.5502898007	0.8106791052
117	0.550895228	0.8101027244
118	0.5515456904	0.8094206107
119	0.5521023209	0.808938304
120	0.5504534142	0.8082809166
121	0.5511653576	0.8076516543
122	0.5511099523	0.8072640051
123	0.5516547182	0.8065966299
124	0.55170944	0.8059705913
125	0.55247107	0.8052307832
126	0.55247107	0.8043275006
127	0.5524164746	0.8037030583
128	0.553066494	0.803271114
129	0.55247107	0.802801546
130	0.5525258037	0.8022116279
131	0.5530822067	0.8017377213
132	0.553066494	0.8012680763
133	0.5542208803	0.8005628633
134	0.5548156206	0.8001142628
135	0.5548156206	0.799657751
136	0.556053265	0.7992064843
137	0.5560014809	0.7985478683
138	0.5554882361	0.7982173755
139	0.5561288542	0.7976593496
140	0.5566438701	0.7970900663
141	0.5578215106	0.7966324458
142	0.5584584101	0.7958615131
143	0.5602594526	0.7953604747
144	0.5602594526	0.7948991617
145	0.5597753696	0.794216534
146	0.5603080891	0.7937707747
147	0.5603568786	0.7931210276
148	0.559676938	0.7925453816
149	0.5603568786	0.7920237927
150	0.5614686485	0.7915294205
151	0.5615164421	0.7910290093
152	0.5627655178	0.7904454214
153	0.5632472162	0.7899469334
154	0.5626246197	0.7896042015
155	0.5638218725	0.7889799764
156	0.5650128421	0.7885508814
157	0.5650128421	0.7880426772
158	0.5644705236	0.7873687769
159	0.5655836538	0.7869818998
160	0.5649942357	0.7866634419
161	0.5650393063	0.7861080755
162	0.5649678085	0.7857780922
163	0.5649942357	0.7851608648
164	0.5656069878	0.7844460191
165	0.5656517509	0.783973864
166	0.5656069878	0.7834421597
167	0.5650393063	0.7832090941
168	0.5656517509	0.782721367
169	0.5656517509	0.782208
170	0.5656517509	0.7818227825
171	0.5662178696	0.7814264197
172	0.5662178696	0.7811750494
173	0.5662178696	0.7806955499
174	0.5662623294	0.7801374074
175	0.5679096999	0.7797456273
176	0.5679096999	0.779270035
177	0.566782898	0.7789511651
178	0.5661735723	0.7784430474
179	0.569032189	0.7780156977
180	0.569032189	0.7774802131
181	0.5684714815	0.7771167874
182	0.569032189	0.7766185072
183	0.5684714815	0.7762849175
184	0.5696335514	0.7757778668
185	0.5701916755	0.7753984105
186	0.5696335514	0.7751448647
187	0.5696335514	0.7747806155
188	0.5701916755	0.7742431044
189	0.5701916755	0.7739274075
190	0.5707487398	0.7735698253
191	0.5707487398	0.7730723718
192	0.5713047482	0.7725318533
193	0.5718597046	0.7720436635
194	0.5718998291	0.7716911238
195	0.5718998291	0.7713077739
196	0.5718998291	0.7709252369
197	0.5724931625	0.7702599951
198	0.5724931625	0.7696229533
199	0.5724533013	0.7691577785
200	0.5730451601	0.7687927826
201	0.5730057318	0.7684738596
202	0.5735571243	0.7680636784
203	0.5735961222	0.7673937371
204	0.5735961222	0.767177632
205	0.5735961222	0.7668945565
206	0.5736352945	0.7665596738
207	0.574694955	0.7661979524
208	0.5752428332	0.7656608896
209	0.5752428332	0.7652948673
210	0.5752428332	0.7649000619
211	0.5752428332	0.7645469155
212	0.575789691	0.7643257096
213	0.575789691	0.7640115244
214	0.5763355321	0.7635331446
215	0.5763355321	0.7633522408
216	0.5763725925	0.7629072481
217	0.5763355321	0.7625646624
218	0.5768438951	0.7620987826
219	0.5768438951	0.7617556595
220	0.5763355321	0.7614040917
221	0.5768803602	0.761148411
222	0.5768438951	0.7607933691
223	0.5762986507	0.7604487606
224	0.5768803602	0.7600288968
225	0.5774241791	0.7596512528
226	0.577388128	0.7591966538
227	0.5779669924	0.7590525105
228	0.5785088038	0.7586921718
229	0.5785442164	0.7583510176
230	0.5796240377	0.7578688281
231	0.580632488	0.7573498827
232	0.5801282628	0.7570430728
233	0.5806999039	0.75663803
234	0.5801624634	0.7561168387
235	0.5817718436	0.7557457413
236	0.5822737344	0.7551587845
237	0.58230635	0.7549056588
238	0.5822737344	0.754590047
239	0.582872299	0.754128231
240	0.5839356973	0.7537406115
241	0.583904057	0.7533457138
242	0.5850263293	0.752868695
243	0.5860813332	0.7525441783
244	0.5866074196	0.7521802236
245	0.5861118383	0.7517079048
246	0.5861425357	0.751347518
247	0.5866678759	0.7509693022
248	0.5866678759	0.7506270891
249	0.586698393	0.750161792
250	0.586698393	0.7498608103
251	0.5872527683	0.749594549
252	0.5877755068	0.7492371478
253	0.5882677129	0.7488487546
254	0.5877755068	0.748529376
255	0.5882973209	0.7480899189
256	0.5888476534	0.7476359038
257	0.5883271226	0.7473277015
258	0.5888476534	0.7470526365
259	0.5888476534	0.7466060976
260	0.5893965423	0.7460442642
261	0.5893965423	0.7457441569
262	0.5899148872	0.745344718
263	0.5909488581	0.7448026738
264	0.5904323247	0.7443811828
265	0.5904610813	0.7440365301
266	0.5899439986	0.743643047
267	0.5904610813	0.7432553021
268	0.5904610813	0.7429449712
269	0.5904610813	0.7426067485
270	0.5904610813	0.7422336576
271	0.5909488581	0.7419401644
272	0.5909488581	0.7418090952
273	0.5904323247	0.7412461803
274	0.5904323247	0.7408114713
275	0.5909488581	0.7405535099
276	0.5914644906	0.7401237235
277	0.5914644906	0.7397108966
278	0.5915207927	0.7394765534
279	0.5920348302	0.7389511449
280	0.5925479769	0.7387136855
281	0.5925479769	0.7381304014
282	0.5915492382	0.7377309589
283	0.5915207927	0.7373871597
284	0.5910346564	0.7371793239
285	0.592062928	0.7368601237
286	0.5915492382	0.7364561235
287	0.5915492382	0.7360781558
288	0.5925757291	0.7358270574
289	0.5926036783	0.73525784
290	0.5931152506	0.7348354505
291	0.5936259422	0.7344204832
292	0.5931152506	0.7340001041
293	0.5941088304	0.7337279501
294	0.593143054	0.7332196399
295	0.593143054	0.7329417072
296	0.593143054	0.7326987318
297	0.592631824	0.7322990531
298	0.5936534051	0.7317761006
299	0.5941628804	0.7314599843
300	0.5946714831	0.7311847466
301	0.5946714831	0.7305496982
302	0.5956860827	0.7302297405
303	0.5961662971	0.7298890976
304	0.5961662971	0.7296233264
305	0.5971763811	0.7291537857
306	0.5961920856	0.7285916235
307	0.5977049428	0.7281429716
308	0.5972268462	0.7277366698
309	0.5987092512	0.7272537197
310	0.5987336149	0.7269136236
311	0.5992341793	0.726723924
312	0.5992341793	0.7264830995
313	0.5992341793	0.7261783053
314	0.5997339028	0.7259766219
315	0.5997101767	0.7257818021
316	0.5997339028	0.7254573962
317	0.5992584273	0.7250303865
318	0.5986213672	0.724733996
319	0.5980972943	0.7244151529
320	0.5996410402	0.7240583965
321	0.5985964473	0.7237963146
322	0.5996410402	0.7234752837
323	0.5996657364	0.7229517672
324	0.6008493919	0.7226680947
325	0.6003284743	0.7221314625
326	0.5996657364	0.7217574052
327	0.5991441781	0.7215638519
328	0.6001614634	0.7211676252
329	0.6001860515	0.7207968527
330	0.6001860515	0.7204963256
331	0.5996657364	0.7201467112
332	0.5996410402	0.7198963853
333	0.6001860515	0.7195870008
334	0.60065637	0.7192105826
335	0.6006806502	0.718845273
336	0.6006806502	0.7186919386
337	0.6006806502	0.7183629214
338	0.60065637	0.718180698
339	0.60065637	0.7177874966
340	0.6011266885	0.7172275348
341	0.6011744331	0.7166904774
342	0.6005099579	0.7164241016
343	0.6005099579	0.7161752218
344	0.6011744331	0.7157413113
345	0.6005099579	0.7154037673
346	0.6011744331	0.7150617853
347	0.6011744331	0.7147098446
348	0.6011744331	0.7142612511
349	0.6011744331	0.714010437
350	0.6011504591	0.7137389976
351	0.6011744331	0.713521362
352	0.6011986098	0.7133126942
353	0.6012229888	0.7131123395
354	0.6012229888	0.7128978262
355	0.6011986098	0.7125398278
356	0.6018739574	0.7122224811
357	0.6011986098	0.7118371519
358	0.6011986098	0.7114288859
359	0.601898172	0.7110412975
360	0.601898172	0.7108474207
361	0.601898172	0.7105274827
362	0.6018739574	0.7101554845
363	0.601898172	0.7096281256
364	0.601898172	0.7092845313
365	0.6023669651	0.7089503877
366	0.6017014147	0.7084898966
367	0.6017014147	0.7082306955
368	0.6026829178	0.7077906764
369	0.6021925675	0.707258517
370	0.602882771	0.7069627914
371	0.602882771	0.7066287747
372	0.602882771	0.7062962497
373	0.6033973722	0.7058620658
374	0.6033738604	0.7055134176
375	0.6033738604	0.7052243584
376	0.6033738604	0.7048700341
377	0.6038641468	0.7046191292
378	0.6038641468	0.7042915608
379	0.6038641468	0.7039699065
380	0.6048649428	0.7035909182
381	0.6048649428	0.7031056439
382	0.6048877695	0.7026921252
383	0.6048877695	0.7025129937
384	0.6053750766	0.7021173655
385	0.6049108008	0.7016064443
386	0.6048877695	0.7011948164
387	0.6054207592	0.7008167616
388	0.6054207592	0.7004363076
389	0.605884043	0.7001715555
390	0.6059066965	0.6998304338
391	0.605884043	0.6995826883
392	0.6063918506	0.699185276
393	0.6063694858	0.6988871128
394	0.6059066965	0.6986593995
395	0.6076156527	0.6984028918
396	0.6075934349	0.6981908485
397	0.6080774564	0.6978441212
398	0.6075934349	0.6975469988
399	0.6080557309	0.6972409957
400	0.6087306695	0.6969348226
401	0.6092151948	0.6963979888
402	0.6085607012	0.6961806334
403	0.6085607012	0.6959288117
404	0.6090431719	0.6956210956
405	0.6090431719	0.6952373908
406	0.6090431719	0.6949624623
407	0.6090431719	0.6946778995
408	0.6090431719	0.6944258834
409	0.6090431719	0.6940242135
410	0.6090431719	0.6937570127
411	0.60853926	0.6935202133
412	0.6080557309	0.6932412174
413	0.6092361504	0.6928661111
414	0.6092151948	0.6926417289
415	0.6092151948	0.6924838472
416	0.6087306695	0.6921079001
417	0.6087306695	0.6917369577
418	0.6092151948	0.6914145001
419	0.609740492	0.6910322811
420	0.608751911	0.6905796082
421	0.6087950191	0.6902919495
422	0.6092786883	0.6901132543
423	0.6092573151	0.689797657
424	0.609740492	0.6893136577
425	0.609740492	0.6891195744
426	0.609740492	0.6886841135
427	0.6097828805	0.6883250875
428	0.6109414936	0.6879011859
429	0.610725053	0.6875325768
430	0.6109414936	0.687060371
431	0.6114228823	0.6868782801
432	0.6114023158	0.6865526402
433	0.6114436585	0.6861148674
434	0.6114436585	0.6858637597
435	0.6114436585	0.6854347892
436	0.6119035033	0.6849988008
437	0.6119035033	0.6847766318
438	0.6119240014	0.6845326257
439	0.6124240125	0.6843180959
440	0.612882399	0.6839265399
441	0.6138573755	0.6836473579
442	0.6145331802	0.6833427859
443	0.6150097691	0.6829928014
444	0.6150097691	0.6827231297
445	0.6150291507	0.6823606471
446	0.6149905996	0.6820535438
447	0.6154667066	0.6815683602
448	0.6154856072	0.6810945068
449	0.6164350407	0.6807171154
450	0.6164350407	0.6805289706
451	0.6164536217	0.6802117675
452	0.6164536217	0.6799776004
453	0.6159986021	0.679522014
454	0.6169454887	0.6792481144
455	0.6169269582	0.678878731
456	0.6173995553	0.678654003
457	0.6176199832	0.6783505317
458	0.6181109263	0.6778445798
459	0.6185825647	0.6776908404
460	0.618564518	0.6774418782
461	0.6188129348	0.6769700472
462	0.6192825988	0.6766334327
463	0.6188129348	0.6764085279
464	0.6188129348	0.6760203009
465	0.6192825988	0.6757527972
466	0.6188304261	0.6754945111
467	0.6199930916	0.6752238432
468	0.6199930916	0.6749387126
469	0.6195236449	0.6746860595
470	0.6204618125	0.6743507391
471	0.6213970867	0.67379609
472	0.62092981	0.6732786492
473	0.6204618125	0.6729591949
474	0.62092981	0.6727018685
475	0.6213970867	0.6723281082
476	0.62092981	0.6720127377
477	0.6214138173	0.6717687014
478	0.6228105995	0.6715070863
479	0.6228268016	0.6712638833
480	0.6235015234	0.6710520923
481	0.6230530915	0.6706602269
482	0.6235342227	0.6702985112
483	0.6235177646	0.6700266646
484	0.6235177646	0.6696730107
485	0.6235177646	0.6694317249
486	0.6235177646	0.6690129838
487	0.6244449871	0.6685468353
488	0.6244449871	0.6682988716
489	0.6249075412	0.6678467804
490	0.6244449871	0.6673339524
491	0.6253693937	0.6670485526
492	0.6253693937	0.6668251337
493	0.6249075412	0.6666084345
494	0.6254005846	0.666019053
495	0.6263212391	0.6656377168
496	0.626780527	0.6654356638
497	0.626795737	0.6651721741
498	0.6277117776	0.6648898536
499	0.6290949838	0.6643012806
500	0.6290949838	0.6640168087
501	0.628639581	0.6638325056
502	0.6295497105	0.6634581389
503	0.628639581	0.6631949446
504	0.628639581	0.6628559933
505	0.6293285441	0.6623190872
506	0.6304704184	0.6617128082
507	0.631832816	0.6614521548
508	0.6313654612	0.6611633626
509	0.6313793558	0.6608497655
510	0.631832816	0.6606054856
511	0.6318467063	0.6602020443
512	0.6311741874	0.6598564894
513	0.6307069204	0.6596130195
514	0.631626492	0.6592972749
515	0.631626492	0.6591523841
516	0.6311741874	0.6587214058
517	0.6311741874	0.6583630331
518	0.6311741874	0.6581528724
519	0.6311741874	0.6578550562
520	0.631626492	0.6576474315
521	0.631626492	0.657247152
522	0.631626492	0.657052667
523	0.6307212158	0.6567593352
524	0.6307212158	0.6565611389
525	0.6307212158	0.6560941076
526	0.6320781318	0.6558997524
527	0.6334422739	0.6556530266
528	0.6336399841	0.6553182447
529	0.634115912	0.6550172383
530	0.6341029043	0.6546528636
531	0.6356979848	0.6541723071
532	0.6356979848	0.6539873164
533	0.6361480201	0.6537995737
534	0.6370588153	0.6534496771
535	0.6363795149	0.6532864016
536	0.636392392	0.6530043097
537	0.6366103081	0.6526976062
538	0.636392392	0.6523748905
539	0.6368399935	0.6519006464
540	0.6368399935	0.6516669831
541	0.6372869465	0.6514361051
542	0.6379538761	0.6509959772
543	0.6375322986	0.6507633986
544	0.6370848709	0.650403361
545	0.6375322986	0.6499412404
546	0.6375322986	0.6496593309
547	0.6375454454	0.6494543467
548	0.6384127127	0.6489419822
549	0.6388584146	0.6486514661
550	0.6379663663	0.6484791533
551	0.639759769	0.6480499315
552	0.639759769	0.6476958344
553	0.639759769	0.6476437462
554	0.6397718676	0.6472918256
555	0.639759769	0.6470381004
556	0.6409045903	0.6466989805
557	0.6408924346	0.6462858314
558	0.6409045903	0.6459895122
559	0.6413471609	0.6456634466
560	0.6413593352	0.6455168807
561	0.6413593352	0.6451914069
562	0.6413717319	0.6449849068
563	0.6418010722	0.6447137228
564	0.6418010722	0.6443529163
565	0.6418010722	0.6441023346
566	0.6418010722	0.6437157675
567	0.6418010722	0.6434770486
568	0.6426710973	0.6431890936
569	0.6426710973	0.642885357
570	0.642682666	0.6426154958
571	0.6431225269	0.6422625201
572	0.6435617664	0.6419394398
573	0.6435617664	0.6416021184
574	0.6431225269	0.6413829153
575	0.6431225269	0.6412179137
576	0.6435731612	0.6407039887
577	0.6435731612	0.6404077565
578	0.6435731612	0.6401199884
579	0.6435731612	0.6399401046
580	0.6444493912	0.6396001576
581	0.6444493912	0.6390957444
582	0.6448865837	0.6388106772
583	0.6448865837	0.6385178265
584	0.6444493912	0.6383799204
585	0.6444493912	0.6380160006
586	0.6448865837	0.6377348607
587	0.6453340025	0.6374884372
588	0.6461944947	0.6372537654
589	0.6466292493	0.6369972903
590	0.6474969463	0.6368483742
591	0.6474969463	0.6365220739
592	0.6474969463	0.6360647125
593	0.6474969463	0.6356269951
594	0.6487939904	0.6354135751
595	0.6492342947	0.6352525489
596	0.6496738683	0.6347534093
597	0.6496738683	0.6345653546
598	0.6496738683	0.6341702986
599	0.6505415578	0.6337656967
600	0.6509698145	0.6336053236
601	0.6509609327	0.6332956051
602	0.6505415578	0.6331288042
603	0.6516457001	0.632966273
604	0.6516457001	0.632632585
605	0.6520646698	0.6322945559
606	0.6520646698	0.6319576576
607	0.6513974885	0.6316614328
608	0.6536006445	0.631255555
609	0.6546894938	0.6310647414
610	0.6540184033	0.6306874815
611	0.654271735	0.6303519885
612	0.6542632601	0.6300352832
613	0.6546814217	0.6297462789
614	0.654271735	0.6295080464
615	0.6551232784	0.6292642667
616	0.6551151511	0.6289063319
617	0.655775909	0.6286768531
618	0.6564421475	0.6284832586
619	0.6568674846	0.6282547838
620	0.6568674846	0.627887488
621	0.6577239052	0.6273800244
622	0.6577164392	0.6271011823
623	0.6581473569	0.6267607437
624	0.6583803989	0.6266167022
625	0.6585702413	0.6262207492
626	0.6581473569	0.6259256168
627	0.6585702413	0.625747459
628	0.6581473569	0.6255565339
629	0.6589855992	0.625218089
630	0.6581400603	0.6250120205
631	0.6581400603	0.6247885735
632	0.658563113	0.62446938
633	0.6589855992	0.6241080057
634	0.659400957	0.6239632999
635	0.6609015651	0.6236920339
636	0.6615633034	0.6233854391
637	0.6613280493	0.6230958982
638	0.6619839504	0.6227927612
639	0.6624040376	0.622451003
640	0.6632373393	0.6222456954
641	0.6636609579	0.6219063303
642	0.6634724874	0.6216572564
643	0.6632425396	0.6212802834
644	0.6636662319	0.6210010745
645	0.6636662319	0.6208673071
646	0.6636662319	0.6204622739
647	0.6651660255	0.6202202515
648	0.664089287	0.6199977403
649	0.6636717392	0.6197231746
650	0.6643258477	0.6196578702
651	0.6651607933	0.6192464758
652	0.6658181378	0.6189491226
653	0.6662348285	0.6188223968
654	0.6666509724	0.6185379959
655	0.6670665714	0.6181443664
656	0.6674816271	0.6178729123
657	0.6683144626	0.6175564402
658	0.6683144626	0.6173805913
659	0.6685606707	0.6171166566
660	0.6683144626	0.6167119014
661	0.668969759	0.6163404879
662	0.6691447775	0.6160854826
663	0.6691404963	0.6158258711
664	0.6710310503	0.6154413963
665	0.6706198568	0.6151043194
666	0.6714417148	0.6149340284
667	0.6718554389	0.6146710008
668	0.672673849	0.6142963342
669	0.6722649056	0.6140332863
670	0.6725087459	0.6137736374
671	0.6718554389	0.6134376754
672	0.6743835881	0.6131016523
673	0.6739749402	0.6129654689
674	0.6739749402	0.6126556694
675	0.6733272397	0.6124589436
676	0.6726811543	0.6121900626
677	0.6726851594	0.6120355958
678	0.6730931544	0.6117810558
679	0.6741504683	0.6114143356
680	0.6741504683	0.6112164955
681	0.6751993228	0.6108739716
682	0.6756122853	0.6107356616
683	0.6762612862	0.6104408755
684	0.6766676241	0.6101210453
685	0.6766708181	0.609862489
686	0.6766708181	0.6096624489
687	0.6766708181	0.6095026444
688	0.6766708181	0.609102154
689	0.6770765055	0.6089178255
690	0.6781285747	0.6086158462
691	0.6777266899	0.6084493409
692	0.6777266899	0.6081460763
693	0.6777233556	0.6078255219
694	0.6787732048	0.6075729993
695	0.6787732048	0.6072989223
696	0.6787732048	0.6072606419
697	0.6791779573	0.6070405399
698	0.6791779573	0.6068790625
699	0.6795822025	0.6065116567
700	0.6795822025	0.6062675928
701	0.6810317294	0.6059045026
702	0.6812660458	0.605779971
703	0.6810292221	0.6053424367
704	0.6814345046	0.6051744378
705	0.6816694992	0.6049590853
706	0.6810317294	0.604740419
707	0.6814321298	0.6045220618
708	0.6810292221	0.6041665403
709	0.6820724491	0.6039609513
710	0.6814345046	0.6037367548
711	0.6820748662	0.6034388553
712	0.6820748662	0.6031223024
713	0.6820748662	0.602996362
714	0.6827105504	0.6028454369
715	0.6827105504	0.602493682
716	0.6827105504	0.6022162321
717	0.6824771827	0.6019788322
718	0.683515031	0.6016924652
719	0.6828789997	0.6015343584
720	0.6851827937	0.6012854863
721	0.6845506757	0.60101384
722	0.6855841312	0.6006788929
723	0.6851844689	0.6003847949
724	0.6858143692	0.6002239356
725	0.6858143692	0.5998783964
726	0.6858143692	0.5996667065
727	0.6854143382	0.5994988952
728	0.6862157492	0.5991963899
729	0.6866180917	0.5989118943
730	0.6870170187	0.5986562236
731	0.6870170187	0.5985261806
732	0.6874169112	0.5983072471
733	0.6874169112	0.5980928353
734	0.6874169112	0.5978257904
735	0.6878163109	0.5975264853
736	0.6878163109	0.597307226
737	0.6884470598	0.5970693237
738	0.6888458856	0.5968229146
739	0.688847122	0.5965330871
740	0.6896999714	0.5961758507
741	0.6901002043	0.5959362666
742	0.6908963138	0.5955624891
743	0.6915197543	0.5953082402
744	0.6917431919	0.595067448
745	0.6907221948	0.5947363329
746	0.6921410888	0.5946294136
747	0.6915211109	0.5943668991
748	0.6903247304	0.5939173431
749	0.6907221948	0.5936994637
750	0.6911206597	0.5936083056
751	0.6901002043	0.5933931439
752	0.6919171233	0.593188697
753	0.6915177601	0.5929068637
754	0.6919153743	0.5926348011
755	0.6933305256	0.5923642276
756	0.6935526024	0.5921054279
757	0.6935530798	0.5919156311
758	0.6935537981	0.5915321881
759	0.6935537981	0.5912755932
760	0.6945670163	0.5909916192
761	0.6943465361	0.5906915713
762	0.6943465361	0.5904475968
763	0.6947421844	0.5902815189
764	0.6947421844	0.5901098685
765	0.6947421844	0.5899392247
766	0.6947421844	0.5896996386
767	0.6951373541	0.589402826
768	0.6953591182	0.5890865082
769	0.6953591182	0.5890222209
770	0.6949638278	0.5888707899
771	0.6949633077	0.5887754987
772	0.694742783	0.5884315791
773	0.6965437271	0.5881690184
774	0.6961494672	0.5879618676
775	0.6965437271	0.5877095246
776	0.6963205064	0.5874021841
777	0.6969376856	0.587209812
778	0.6973308832	0.5870752775
779	0.6969376856	0.5869071934
780	0.6969376856	0.586803701
781	0.6973308832	0.5864964045
782	0.6973308832	0.5862534939
783	0.6969376856	0.5860136052
784	0.6973308832	0.5857044909
785	0.6979464103	0.5855922892
786	0.6985597411	0.5852034591
787	0.699123315	0.5850242439
788	0.6987314816	0.5848475459
789	0.6987314816	0.5844788857
790	0.7003490337	0.5841587725
791	0.7003490337	0.5840508914
792	0.6997369191	0.5836928003
793	0.7003486377	0.5834582463
794	0.7000187052	0.58313491
795	0.7000187052	0.5829844786
796	0.7014114623	0.5827312464
797	0.7016259902	0.5824410988
798	0.7026226727	0.5821151674
799	0.7014108613	0.5818982065
800	0.7036167289	0.5816502756
801	0.7042174323	0.5814117053
802	0.7030137242	0.5812550595
803	0.7036161655	0.5810421672
804	0.7043971881	0.5807858886
805	0.7043971881	0.5806383073
806	0.7049984024	0.580473583
807	0.7052068035	0.5802476932
808	0.704607969	0.5800719867
809	0.7053883746	0.5798983934
810	0.7059888299	0.5795737657
811	0.7065868098	0.579355567
812	0.7073648929	0.5791801622
813	0.7061954437	0.5790929969
814	0.7069755369	0.5788910081
815	0.7069755369	0.5787452632
816	0.7085318385	0.5785830973
817	0.7073661978	0.5783759047
818	0.7085302149	0.578134859
819	0.7085302149	0.5777183791
820	0.7089177449	0.5774944379
821	0.7085302149	0.5773413809
822	0.7081422305	0.577174428
823	0.7085302149	0.5769287304
824	0.7085302149	0.5767940175
825	0.7095129663	0.5766505761
826	0.7095129663	0.5765432597
827	0.709898543	0.5762964103
828	0.709898543	0.5760936931
829	0.7106729743	0.5757431149
830	0.7106729743	0.5755765504
831	0.7106729743	0.5753643373
832	0.7106712249	0.5751872289
833	0.7116488512	0.5748983652
834	0.7116504139	0.5747125473
835	0.7116504139	0.57444564
836	0.7116504139	0.5742185765
837	0.7126273365	0.574051056
838	0.712625717	0.5738645736
839	0.7120340153	0.5735296979
840	0.7132155234	0.5733206819
841	0.7132155234	0.5732389778
842	0.7136020062	0.5731156127
843	0.714189929	0.5729084051
844	0.7138034463	0.572783946
845	0.7138034463	0.5725207378
846	0.7138034463	0.5722836711
847	0.7138034463	0.5719596738
848	0.7145712186	0.5717765086
849	0.7145712186	0.5715392262
850	0.7145712186	0.5713632821
851	0.7145712186	0.5713203514
852	0.7139831637	0.5710274694
853	0.7145712186	0.5707888935
854	0.7145712186	0.5706748924
855	0.7145712186	0.5704671179
856	0.7153385128	0.5702561057
857	0.7153385128	0.570219388
858	0.7159247841	0.5700704773
859	0.7159247841	0.5698748453
860	0.7163078165	0.5696520091
861	0.7166904116	0.5693509697
862	0.717274911	0.5690896346
863	0.717274911	0.5689294404
864	0.7173266308	0.5688063626
865	0.7173266308	0.5686395455
866	0.7171220853	0.5685077254
867	0.7163588296	0.5682847871
868	0.7184183896	0.5679022653
869	0.7180371488	0.5676251964
870	0.7184202174	0.56734291
871	0.7177072836	0.5669924595
872	0.7177088782	0.5667892042
873	0.7184202174	0.56654248
874	0.7180890014	0.5664335357
875	0.7188511402	0.5661617275
876	0.7197624945	0.5659436855
877	0.7194350674	0.5657963073
878	0.7203958925	0.5654883931
879	0.7203958925	0.5651653828
880	0.7203958925	0.5648909953
881	0.7203958925	0.5647039924
882	0.7213545579	0.5644322384
883	0.7201957588	0.564176721
884	0.7205754614	0.5640061274
